Epoch,Dice,MSE,SSIM
1,0.3152251902785934,0.02140421794840182,0.3881973314462814
2,0.3220356053837084,0.023585848121211776,0.37149212745844334
3,0.30998185165447817,0.02834137936829184,0.29964953324620086
4,0.3167740498622897,0.030023390224194414,0.28217395143886387
5,0.33228778167168543,0.028945541112759533,0.2895466676278469
6,0.3098471385937438,0.03098297099596388,0.27668698442327433
7,0.348556959162268,0.028687978058562068,0.30002314032435523
8,0.2949575149114949,0.029994661846849156,0.28053424499311197
9,0.3291810278066957,0.029608128670809822,0.29289688698462535
10,0.27974202121329916,0.03149225202162388,0.27454184062658415
11,0.30679736620383036,0.03130372161430984,0.27715615662813703
