Epoch,MSE,SSIM
0,4.5093020006123945e-05,0.987457952478189
1,4.12707974308275e-05,0.9881725819677646
2,3.8549757453585564e-05,0.9887516279953705
3,3.737813433169537e-05,0.9890516313187326
4,3.59137741717511e-05,0.9893645648214094
5,3.721853224438877e-05,0.9894344948420579
6,3.519099224079621e-05,0.989736417051105
7,3.5776124065528255e-05,0.9896852740555706
8,3.416470643993116e-05,0.98989095740894
9,3.385584127618187e-05,0.9899795667619167
10,3.380603181347418e-05,0.9901298718979405
11,3.375281021096627e-05,0.9900628595369773
12,3.5964749159819964e-05,0.9899421482268175
13,3.3942123754445434e-05,0.9900940304406125
