Image Pair,Dice full,Dice no background,MSE,SSIM,Time,Mean Dice full, Mean Dice no background,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
0,0.24148184164266748,0.0,0.0016188470498879912,0.7365754260873056,0.007870674133300781,-,-,-,-,-,-
1,0.24055514892179494,0.0,0.0016778394869108718,0.733507182309225,0.004589080810546875,-,-,-,-,-,-
2,0.6180413475940078,0.41825191167995046,0.00048743922894616237,0.9313188566718694,0.002620697021484375,-,-,-,-,-,-
3,0.5935082327274633,0.3917226755766883,0.0006937518353094011,0.8856918995965184,0.002431631088256836,-,-,-,-,-,-
4,0.6232879217242511,0.45239677527461564,0.0014893883280386556,0.747365861233928,0.002400636672973633,-,-,-,-,-,-
5,0.6126900786084144,0.452593173393865,0.0003520348353250648,0.9399482989952767,0.0023615360260009766,-,-,-,-,-,-
6,0.5938406030786922,0.410819200901915,0.0011869813164777862,0.7725844565085058,0.002362966537475586,-,-,-,-,-,-
7,0.6458560278357907,0.46952211956189194,0.0009078147855369111,0.7936169212786547,0.002393960952758789,-,-,-,-,-,-
8,0.6313242926032034,0.45486622155075784,0.00026599082572096217,0.9496589651577529,0.0023839473724365234,-,-,-,-,-,-
9,0.6231203737459707,0.443506583448409,0.0008968426907284908,0.81451883102433,0.0023806095123291016,-,-,-,-,-,-
10,0.6320539951081958,0.48275103809840475,0.00020520235268922283,0.9599535469764755,0.0023005008697509766,-,-,-,-,-,-
11,0.589787932366723,0.4128907622058307,0.0010069949876908642,0.7901434808757464,0.0023262500762939453,-,-,-,-,-,-
12,0.5612234571052777,0.3544984557290408,0.00016023972793903837,0.9667222530047099,0.002358675003051758,-,-,-,-,-,-
13,0.5943868325097384,0.4065342074071578,0.0002098758688512222,0.9608901974598567,0.0023484230041503906,-,-,-,-,-,-
14,0.5150165833382718,0.3030565755473956,0.00034600057217970407,0.9280072197185308,0.0023360252380371094,-,-,-,-,-,-
15,0.49279289701470635,0.2684754521963824,0.0007907618036807401,0.8247521665979133,0.002343893051147461,-,-,-,-,-,-
16,0.4940678137309331,0.32796684118673647,0.00014432125253878382,0.9715199871893795,0.002348661422729492,-,-,-,-,-,-
17,0.3924381536495524,0.0547680412371134,0.0010593228315564545,0.7950144766402408,0.002361297607421875,-,-,-,-,-,-
18,0.4192847652312709,0.10063559322033898,0.0011152116161922245,0.7758551218311768,0.0023314952850341797,-,-,-,-,-,-
19,0.5986821424451593,0.4625479331696761,0.00047779061790426326,0.9061428565201838,0.002331256866455078,-,-,-,-,-,-
20,0.588131994615851,0.4275164085183709,0.0012018489130932166,0.7584817743403255,0.0023870468139648438,-,-,-,-,-,-
21,0.6106134160945091,0.46142231637949804,0.0003519017004450999,0.9374890884385996,0.0023260116577148438,-,-,-,-,-,-
22,0.6091788071741261,0.47627922204111783,0.00037978898000592774,0.9202098804173016,0.002356290817260742,-,-,-,-,-,-
23,0.6042308037297033,0.46339681988884723,0.0010560989414857168,0.7735762436084203,0.0023431777954101562,-,-,-,-,-,-
24,0.6209163171220439,0.48546298116444475,0.00034389758650415076,0.921816515611183,0.002315521240234375,-,-,-,-,-,-
