Image Pair,Dice full,Dice no background,MSE,SSIM,Time,Mean Dice full, Mean Dice no background,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
0,0.24116721900803234,0.0,0.0016235473902814256,0.8734870935968988,0.004349946975708008,-,-,-,-,-,-
1,0.24049670552458186,0.0,0.001526226253178126,0.865636084220248,0.002471923828125,-,-,-,-,-,-
2,0.5975506372394492,0.39112593429706166,0.0010277801398927153,0.896682555455954,0.002500295639038086,-,-,-,-,-,-
3,0.5698738321924692,0.3606230338714489,0.001119016353957582,0.8963898634131843,0.0024819374084472656,-,-,-,-,-,-
4,0.5717210104419551,0.37080654587960254,0.0008760694302260855,0.9046000228390905,0.00247955322265625,-,-,-,-,-,-
5,0.5653016951242457,0.37010600954848843,0.0007606008203103431,0.9112391840048267,0.0026848316192626953,-,-,-,-,-,-
6,0.5793988231077052,0.3829609440607158,0.0006389806149024139,0.908670647470999,0.002483844757080078,-,-,-,-,-,-
7,0.5877572750446991,0.3924281524926686,0.0006767386221469651,0.9156227108345899,0.030921220779418945,-,-,-,-,-,-
8,0.5870950827079969,0.3836601600287001,0.0005291949722685311,0.9273477898469283,0.0024161338806152344,-,-,-,-,-,-
9,0.5836092623704248,0.38257947943659404,0.0005455362762531623,0.9254436326094326,0.0024178028106689453,-,-,-,-,-,-
10,0.5904157947204031,0.4126187058317642,0.0004501717740752676,0.934870871171781,0.002376079559326172,-,-,-,-,-,-
11,0.5773928467600562,0.3826086956521739,0.00034761204502564973,0.9427455488744236,0.0023851394653320312,-,-,-,-,-,-
12,0.5553273240725317,0.34253796095444683,0.00035300638122272445,0.942789604425856,0.002346515655517578,-,-,-,-,-,-
13,0.5466375753578284,0.33417155058834214,0.00038341508794446065,0.9448663352436873,0.010353565216064453,-,-,-,-,-,-
14,0.5259200946524742,0.3213291518376264,0.0003764625970532858,0.9457084821816002,0.0023648738861083984,-,-,-,-,-,-
15,0.5263239602745183,0.3285350781533988,0.0003717535803756312,0.9488000433547866,0.0025031566619873047,-,-,-,-,-,-
16,0.5072559585772823,0.34848228663446057,0.000344235376599148,0.953194878057284,0.007028341293334961,-,-,-,-,-,-
17,0.39717580133463726,0.05458089668615984,0.0011587792212646277,0.8860119434579298,0.00231170654296875,-,-,-,-,-,-
