Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE
1,0.2415857408567076,0.0,0.004392103165738638,0.8528283930788844,-,-,-,-
2,0.24155433827515937,0.0,0.0030330969044036916,0.8449576556546249,-,-,-,-
3,0.7671769896830759,0.6230549183119406,0.0023323349612760307,0.8731093755232048,-,-,-,-
4,0.7849427469228647,0.6474745129170255,0.0023851226404846596,0.8769312276617711,-,-,-,-
5,0.7700104619537151,0.6466786324992548,0.002152278983480292,0.8846733927941344,-,-,-,-
6,0.7766371459807624,0.6751722499406034,0.0017300082474954817,0.8932597892352993,-,-,-,-
7,0.8012486438210462,0.6995183252905917,0.001138163314067038,0.9009377288884793,-,-,-,-
8,0.8108326791988971,0.6975912923966608,0.0011331695483792546,0.9136070003386687,-,-,-,-
9,0.8192745386132152,0.7049325702248392,0.001198397220394185,0.921568746546618,-,-,-,-
0,0.8220805309709969,0.6989309149893091,0.0008237476840495943,0.923624428130358,-,-,-,-
1,0.8102324193664219,0.6863172648261395,0.0006615517442892716,0.9337945117064314,-,-,-,-
2,0.8067599689157134,0.6955529587951031,0.0005302336553466605,0.9398706610188953,-,-,-,-
3,0.8274673565730808,0.7148867702024744,0.0005475024338351303,0.9419807225437768,-,-,-,-
4,0.7800969408880111,0.6497807265362181,0.0005779944191286296,0.9430682518906315,-,-,-,-
5,0.7442742236231994,0.5970595770486806,0.00052712491589674,0.9445434611337881,-,-,-,-
6,0.7283118892481564,0.5775472069236821,0.00042509929270615024,0.9502638740554075,-,-,-,-
7,0.6544937320441094,0.4989647643427194,0.0004742516101005294,0.9523142882410598,-,-,-,-
8,0.62964956919347,0.32846599264385856,0.002654565200929469,0.8724671475432431,-,-,-,-
9,0.6094012658967511,0.34458851716534933,0.0027649916219819716,0.8840920514386688,-,-,-,-
0,0.7980361095962224,0.7101374836796808,0.0020229144031402614,0.8907692036207909,-,-,-,-
1,0.8291402466311568,0.7407713525790308,0.0016822271770813616,0.8867506861590331,-,-,-,-
2,0.8234024474701911,0.7422974997895446,0.0014459429876219612,0.8951150311211603,-,-,-,-
3,0.8071968834103588,0.7321745401700503,0.0010439251156501535,0.8998722703513534,-,-,-,-
4,0.8240908225164173,0.726655907396071,0.0009753725049402312,0.9059364918739156,-,-,-,-
5,0.8433154436368284,0.7359663501284193,0.0011253489072195445,0.9092343449525092,-,-,-,-
6,0.8230098511466769,0.713656930473074,0.0009501735363107478,0.9042623723365129,-,-,-,-
7,0.8133511852324223,0.6710446814186729,0.001148956722672073,0.8930022445487656,-,-,-,-
8,0.8073915168849206,0.6794582662132331,0.0014942928307274121,0.8875682987483318,-,-,-,-
9,0.6941643820663956,0.5452031003762905,0.0015850951081654476,0.8823982181940063,-,-,-,-
0,0.7188336761413668,0.5803658171720941,0.0011976727800282892,0.8791153447103565,-,-,-,-
1,0.6286971437690355,0.5223132427423112,0.001084731316067917,0.8783161827378241,-,-,-,-
2,0.5565876227990383,0.49090792675118455,0.0011625449116565837,0.8744576207680528,-,-,-,-
3,0.5228737387008059,0.4109856746523355,0.0012889838394575621,0.8672557764308881,-,-,-,-
