Image Pair,MSE,SSIM,Mean MSE,Mean SSIM
1,0.00023392735128156272,0.9296929454933063,-,-
2,0.0005855637052113252,0.8592134899726178,-,-
3,0.0010565736897266305,0.8432962657503135,-,-
4,0.0021181071300767932,0.8654634078519333,-,-
5,0.0012256066552533502,0.8673205489373134,-,-
6,0.0010616750399733033,0.8803719490048021,-,-
7,0.0009525845965401543,0.8979900393489739,-,-
8,0.0005602234255717636,0.9009212428669233,-,-
9,0.00037553326161406586,0.9047331941903292,-,-
0,0.0009657034926668547,0.847808181463462,-,-
1,0.0011895045679264648,0.824627122986071,-,-
2,0.000230609454501409,0.9411382008151453,-,-
3,0.0003663558090991953,0.9124761881983441,-,-
4,0.0007152043702845724,0.8944721606944062,-,-
5,0.0005052536458789387,0.9151544051951118,-,-
6,0.0004938111399675947,0.9213358987815736,-,-
7,0.00039855838435492075,0.9309438151981089,-,-
8,0.0002756593618141231,0.941138651749222,-,-
9,0.0004147572281459824,0.9311017132518438,-,-
0,0.0005260660027088139,0.9104894434947124,-,-
1,0.0009261272161124257,0.8482834010823229,-,-
2,0.0009430728042040957,0.8553890794047606,-,-
3,0.00021002204682724616,0.949582482079601,-,-
4,0.00021169493182440188,0.940796211758803,-,-
5,0.0018290512820199236,0.9084707233993421,-,-
6,0.00036918028575656705,0.926206115529686,-,-
7,0.0003025720737119274,0.942371891608249,-,-
8,0.0001900951228784082,0.9539974634780696,-,-
9,0.00016864875688703618,0.9588833933645938,-,-
0,0.0002459118064691504,0.9495351140761559,-,-
1,0.0006487612804890375,0.8993643323619777,-,-
2,0.0012209547171873126,0.8545291256418148,-,-
3,0.0009242731272617381,0.8813731488725783,-,-
4,0.00013807673974950468,0.9604476116004667,-,-
5,0.00019029603094716473,0.9441301940805225,-,-
6,0.0002632959964897758,0.9383824698612648,-,-
7,0.00023969389095070207,0.9450122431776604,-,-
8,0.00022372990984034018,0.9510386016683723,-,-
9,0.00021458769534871776,0.9515022973139055,-,-
0,0.00017111038339442323,0.9578663795249147,-,-
1,0.00022952134515738775,0.9508989367763175,-,-
2,0.0003536489183002064,0.9278194119469938,-,-
3,0.0009170370281413259,0.8969812578391954,-,-
4,0.0004648657874836492,0.9152677370942484,-,-
5,0.00019673070941921057,0.954644845313224,-,-
6,0.00021550245667428206,0.9435506538417434,-,-
7,0.0003625995529095296,0.9259496460811012,-,-
8,0.0002718730093651777,0.9464966873417158,-,-
9,0.00025308578769987945,0.9509276574446469,-,-
0,0.0002158159558265973,0.950257773835102,-,-
1,0.00018191642259541551,0.9558725906284921,-,-
2,0.0002777348106960498,0.9458977914461926,-,-
3,0.0005428483501072856,0.9236134554368423,-,-
4,0.0008481422153476387,0.9076178355538832,-,-
5,0.0006879611529899866,0.9183348994726012,-,-
6,0.00014364074441990552,0.9591330279989482,-,-
7,0.00015820830208461808,0.9529186775752454,-,-
8,0.00015247774258189258,0.9533275591785779,-,-
9,0.00015433260223231938,0.9593757638930127,-,-
0,0.00015372699433338803,0.9605659957119146,-,-
1,0.00016009547751691264,0.9611814473307332,-,-
2,0.00012651765562570182,0.9613133516636067,-,-
3,0.00018018022640055304,0.953694961329059,-,-
4,0.00028672276108578353,0.9403635452369817,-,-
5,0.0008732368548009718,0.9032099645228626,-,-
6,0.000292708123282597,0.9401845384212223,-,-
7,0.00011880704489688478,0.9672325229384626,-,-
8,0.00010483681040894828,0.9642744000441609,-,-
9,0.00011868135611824931,0.9614553464115125,-,-
0,0.00011940524504284639,0.9654730559973493,-,-
1,8.170545003231566e-05,0.971823387082298,-,-
2,8.848548266656598e-05,0.9691958859735031,-,-
3,7.50890577138766e-05,0.9732022737517513,-,-
4,9.634548723695547e-05,0.9672633327725457,-,-
5,0.00011063117687211464,0.9629341013136586,-,-
6,0.0003487415845561999,0.9417032000581992,-,-
7,0.00016687036206158469,0.9557527780308076,-,-
8,0.00010970634032418411,0.9726790504981985,-,-
9,7.124470733433879e-05,0.9739428704200416,-,-
0,8.871467062947732e-05,0.9671422626885354,-,-
1,7.751804493233155e-05,0.9732029493587314,-,-
2,0.00020759518631359753,0.9743155004009508,-,-
3,0.00019953437739855706,0.9724222248102107,-,-
4,5.647341830083924e-05,0.978529497302007,-,-
5,7.5577907080175e-05,0.9754134068870498,-,-
6,6.919745300504374e-05,0.9734403333065981,-,-
7,0.00027332274483987695,0.9512584241040156,-,-
8,0.0001612227997527481,0.9616873141842033,-,-
9,0.0003606142809347744,0.9000566067465389,-,-
0,0.0010028928353949407,0.8372254211911793,-,-
1,0.0013321602445149079,0.854096217305067,-,-
2,0.0014030215958212011,0.8643785352986981,-,-
3,0.0017492945099497155,0.8541566810947268,-,-
4,0.0018037968650736762,0.8403811628666141,-,-
5,0.00102130263036181,0.8741602842648755,-,-
6,0.0007317875229238179,0.883278217187995,-,-
7,0.00048308179683310233,0.8934131290345777,-,-
8,0.0008085911485618651,0.8476923598461422,-,-
9,0.0008161614460122127,0.8374177515623356,-,-
0,0.0005800486918386727,0.9155915873222706,-,-
1,0.0012921561916007611,0.9096399541132123,-,-
2,0.0009595698189365678,0.9146706618878073,-,-
3,0.0025261285023598585,0.9024970310555276,-,-
4,0.0011178079212522923,0.9067862055172077,-,-
5,0.0005438468822947691,0.9348431002615584,-,-
6,0.00030874276712567953,0.9256335909434131,-,-
7,0.0006283894090204317,0.9134231048968796,-,-
8,0.000530240764840408,0.9075936049035994,-,-
9,0.00030800930034336903,0.9196579987950971,-,-
0,0.0002791577663062378,0.9233361010950263,-,-
1,0.00022932680957018955,0.9432924945070019,-,-
2,0.0002774599010799235,0.9450479290293905,-,-
3,0.0003690295936679342,0.9303601759117377,-,-
4,0.0003626542761756092,0.9424250798983755,-,-
5,0.0004514083343195224,0.9379722218636534,-,-
6,0.0003521671233684537,0.952335091416553,-,-
7,0.0003396716177383183,0.9354074000192778,-,-
8,0.0005470619896491131,0.9206697190292054,-,-
9,0.00041432929714977387,0.9270056425002003,-,-
0,0.00026178687791810997,0.9398117065860081,-,-
1,0.0001932278758580171,0.9467624695071968,-,-
2,0.00022193532532388682,0.9487099093128001,-,-
3,0.00027415950023098793,0.9474088933930968,-,-
4,0.00022513030994209053,0.9454847522945513,-,-
5,0.00023001450500062978,0.9454060123446703,-,-
6,0.00018910854814170415,0.9519285202428067,-,-
7,0.0001284308598026219,0.9600647760887507,-,-
8,0.000278865421059307,0.9407556345351566,-,-
9,0.0005666238870808964,0.9289978022978699,-,-
0,0.0005390111320446676,0.9397853138753176,-,-
1,0.00024085875689839128,0.9484308879737012,-,-
2,0.000217354615954789,0.9496456915070333,-,-
3,0.00010764180684116798,0.9661635333511964,-,-
4,9.97936965866088e-05,0.9676334439072667,-,-
5,0.00019364854458396694,0.9612752611931791,-,-
6,0.00011045427457325986,0.9646620124779326,-,-
7,0.00010655729018607653,0.9658691375319092,-,-
8,8.32053600231755e-05,0.9701699564025399,-,-
9,0.00015145778617572144,0.9541410339376931,-,-
0,0.000286669285697666,0.9568631359894876,-,-
1,0.0001978872692637231,0.9593222570821968,-,-
2,0.00012747768588027182,0.9639272303326445,-,-
3,0.00010147025562825671,0.9690250137077216,-,-
4,6.768982373639964e-05,0.9742322709024029,-,-
5,6.128741523316286e-05,0.9755525110105342,-,-
6,7.557626077867823e-05,0.9702594358478799,-,-
7,7.766220038385841e-05,0.9725611292791765,-,-
8,6.324446005037169e-05,0.9750816520537813,-,-
9,4.72474668539409e-05,0.9781509094628886,-,-
0,7.991808025699243e-05,0.9700617768559054,-,-
1,7.268353101271889e-05,0.9726059536505801,-,-
2,6.743027986615733e-05,0.9731980228512064,-,-
3,7.630258001802317e-05,0.9721528100990362,-,-
4,5.866826261771512e-05,0.9780841245147398,-,-
5,4.1807328511853545e-05,0.9809493154708167,-,-
6,3.8346045336166186e-05,0.9814252524095108,-,-
7,5.393580303124817e-05,0.9773272945855258,-,-
8,4.102854642670531e-05,0.9796187920120469,-,-
9,5.168709597652568e-05,0.9777287453154774,-,-
0,2.837710511103458e-05,0.9854952085653227,-,-
1,5.6997157859942745e-05,0.9764938874119972,-,-
2,5.180345513363093e-05,0.9768807359604077,-,-
3,5.2562697011027606e-05,0.9798703470263769,-,-
4,7.73660125069206e-05,0.9735250393614957,-,-
5,3.0418644776545916e-05,0.9851615676543986,-,-
6,6.653430299818992e-05,0.9791636449238226,-,-
7,8.444197025148564e-05,0.9711301892001148,-,-
8,0.00015604926202269955,0.9698109516254668,-,-
9,8.81658750107752e-05,0.9734140593123375,-,-
0,5.9588628560877656e-05,0.9806887222375047,-,-
1,4.92115120145511e-05,0.9822211738589754,-,-
2,6.256904264920631e-05,0.9768274099361606,-,-
3,7.961222139362641e-05,0.9712462262639032,-,-
4,7.645580912731533e-05,0.9768969894976227,-,-
5,9.950492421203432e-05,0.9718897470747705,-,-
6,4.309265415467166e-05,0.9841548649017939,-,-
7,0.00013215263679882503,0.9840927803279194,-,-
8,0.00010725804290001927,0.9798716839512903,-,-
9,0.00012197498084671386,0.9724688726777404,-,-
0,4.729602998443053e-05,0.9844467487324876,-,-
1,5.783276143303577e-05,0.9868682703823425,-,-
2,3.306537036908421e-05,0.9888295633897701,-,-
3,7.0647895654699e-05,0.9824609010120487,-,-
4,4.565165249577846e-05,0.9816861712494542,-,-
5,6.689291428699667e-05,0.9830309345323559,-,-
6,6.169730087461112e-05,0.9843613846665092,-,-
7,5.032498833689496e-05,0.9876106356214421,-,-
8,0.0009708450674326693,0.8862657847330387,-,-
9,0.001070359686645822,0.8775701363259234,-,-
0,0.0008278168403321607,0.889308115099204,-,-
1,0.0012818491949139136,0.887783567386699,-,-
2,0.0007300495128212172,0.8980392014098713,-,-
3,0.0005873013849474534,0.9130681529917433,-,-
4,0.00048113502912775093,0.9042758456054538,-,-
5,0.00031110292050017934,0.9165822922769785,-,-
6,0.00042551541642826883,0.907223266363652,-,-
7,0.0005445533055042454,0.9143659808371166,-,-
8,0.00033289973908217377,0.9212530094273006,-,-
9,0.0005727539698852951,0.8716044682813692,-,-
0,0.00037165646345737127,0.8958340723905742,-,-
1,0.0006525288075616791,0.86043119014983,-,-
2,0.0011112146163833117,0.8101231626005406,-,-
3,0.000914566202103231,0.8304448893429927,-,-
4,0.00044293671753274747,0.8843551705764845,-,-
5,0.00026959907489694984,0.9169875742761187,-,-
6,0.0006938289913335998,0.908022453545234,-,-
7,0.0005165056255743618,0.9062109781926702,-,-
8,0.0004627556154520139,0.8891644294844098,-,-
9,0.00037231502139895326,0.9155583827140943,-,-
0,0.0003665278232750838,0.9036970553979898,-,-
1,0.0005389948252945286,0.8928124918557574,-,-
2,0.0004968101512361259,0.8907753151473237,-,-
3,0.0007791258686762471,0.8827181291265255,-,-
4,0.0007493284984636358,0.8970378792019382,-,-
5,0.0002530224328844071,0.9161993738097068,-,-
6,0.0003095297603483037,0.9274393402342476,-,-
7,0.0005738503951148471,0.928858242677667,-,-
8,0.0004371095755250275,0.9064260278277375,-,-
9,0.0007347775107031188,0.8793292042024167,-,-
0,0.0006295347352097741,0.8952248229211195,-,-
1,0.0007794552550534111,0.884068169396851,-,-
