Image Pair,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.9866267126984747,3.329373677203917e-05,-,-,-,-
1,0.9791037719316795,6.274010971859425e-05,-,-,-,-
2,0.9776920331535022,9.801389754849284e-05,-,-,-,-
3,0.9790354469341664,0.00012403968910751893,-,-,-,-
4,0.9788802618523759,0.00012922159120867213,-,-,-,-
5,0.9820913185867722,0.00010308774984799741,-,-,-,-
6,0.9836133215716091,7.180116539103211e-05,-,-,-,-
7,0.9834590223323878,6.314251641815416e-05,-,-,-,-
8,0.9830323266595632,5.5674351336705445e-05,-,-,-,-
9,0.9748349280202782,0.00013489299724028873,-,-,-,-
10,0.9722228540563942,0.00014090949829551234,-,-,-,-
11,0.98712690630991,3.844866977743129e-05,-,-,-,-
12,0.9808111935303115,6.835889832441327e-05,-,-,-,-
13,0.9785667626482394,0.00010489721145365212,-,-,-,-
14,0.9818625292801648,7.61162686146987e-05,-,-,-,-
15,0.9840252738702019,6.685354283853456e-05,-,-,-,-
16,0.9852795230795155,5.63369555664429e-05,-,-,-,-
17,0.9877537122056654,3.883908658605197e-05,-,-,-,-
18,0.9843525633058757,5.902032608641902e-05,-,-,-,-
19,0.9813244344896449,8.636289938528673e-05,-,-,-,-
20,0.9759479044457757,0.00011228470517229511,-,-,-,-
21,0.9757785937604517,0.00011336235866985299,-,-,-,-
22,0.9881697582630772,3.4200677368567146e-05,-,-,-,-
23,0.985099263735675,5.112288253806634e-05,-,-,-,-
24,0.9822660643938421,6.907075808357022e-05,-,-,-,-
25,0.983262772851966,6.688535651744921e-05,-,-,-,-
26,0.9870099871006643,4.397112152977787e-05,-,-,-,-
27,0.9880403652419686,3.627890558667614e-05,-,-,-,-
28,0.9891614648084867,2.9628606998361342e-05,-,-,-,-
29,0.9865621782324531,4.820607486221017e-05,-,-,-,-
30,0.9816183863431491,8.72104814970237e-05,-,-,-,-
31,0.9774375897692903,0.00011662702141105829,-,-,-,-
32,0.9791755773404709,9.878509479518832e-05,-,-,-,-
33,0.9882379526754496,3.7958942664381705e-05,-,-,-,-
34,0.9846557983494559,5.241753429369784e-05,-,-,-,-
35,0.9837337673716394,5.461039918450899e-05,-,-,-,-
36,0.9850693852397293,5.014209793953472e-05,-,-,-,-
37,0.9869479749736343,4.1506451306863204e-05,-,-,-,-
38,0.9877136010167156,3.613252915638061e-05,-,-,-,-
39,0.9890740924011107,2.9503003709954268e-05,-,-,-,-
40,0.9877633847311551,3.850994659545964e-05,-,-,-,-
41,0.9830993185421832,6.515204733137172e-05,-,-,-,-
42,0.9789117690546396,0.00013293928277230394,-,-,-,-
43,0.9816398225046193,8.1424105566271e-05,-,-,-,-
44,0.986944828445968,4.431209495015685e-05,-,-,-,-
45,0.985329812502437,5.464881357200414e-05,-,-,-,-
46,0.9823854278695693,7.305783607124505e-05,-,-,-,-
47,0.9842601892857153,6.427312842503588e-05,-,-,-,-
48,0.9854582612393166,5.790921994788199e-05,-,-,-,-
49,0.9859828180863923,5.1984359200878706e-05,-,-,-,-
50,0.9881853779474266,3.488403441525629e-05,-,-,-,-
51,0.9862423143214859,5.2003539227547024e-05,-,-,-,-
52,0.983202290531148,8.203582791788396e-05,-,-,-,-
53,0.9812636714697465,0.00010728091001899689,-,-,-,-
54,0.9812493843346569,9.961995613998977e-05,-,-,-,-
55,0.9889503695064854,3.0186646001065638e-05,-,-,-,-
56,0.9872533468679477,3.45366788497058e-05,-,-,-,-
57,0.985471519294228,4.344976308968072e-05,-,-,-,-
