Image Pair,MSE,SSIM,Mean MSE,Mean SSIM
1,0.0011041378257130626,0.9000534778359986,-,-
2,0.001104720954763102,0.8369614357783743,-,-
3,0.0020667581446534924,0.8057797547065563,-,-
4,0.0028821662386602333,0.820083216580887,-,-
5,0.0027296226614408133,0.8338700411099168,-,-
6,0.0019274880240885358,0.8591363348599157,-,-
7,0.0009290409395908406,0.8784544728854615,-,-
8,0.0007355444774833632,0.8874044590779826,-,-
9,0.000693058358543429,0.8731240155867805,-,-
0,0.0015276196838682914,0.8051300518168371,-,-
1,0.0016927727453932048,0.7886095525037503,-,-
2,0.00035994579747581257,0.9195676293930658,-,-
3,0.0006908218058917699,0.8728476480677966,-,-
4,0.0009585425610890225,0.8659215703704415,-,-
5,0.0007753208065721659,0.8891378403550497,-,-
6,0.0007503097004758624,0.8940319952720324,-,-
7,0.0005657656987985871,0.9097986208403182,-,-
8,0.00038313366215503286,0.9256149258665425,-,-
9,0.0006873473151271753,0.906469203686564,-,-
0,0.0009426558241552417,0.8591323296997861,-,-
1,0.0015953588686034744,0.8037581319056579,-,-
2,0.0014934741247255305,0.812000666712382,-,-
3,0.00028307910233079867,0.9405997367826827,-,-
4,0.00039459404365385224,0.9172242263927386,-,-
5,0.0005425516848619493,0.9013762285527388,-,-
6,0.0006152006260359968,0.9033801641293142,-,-
7,0.000369726427218883,0.9333579577829131,-,-
8,0.0002915785739780534,0.9401722318840731,-,-
9,0.00027001145272793393,0.9482742242505523,-,-
0,0.0004420753422996673,0.9345319343991434,-,-
1,0.0009565222014671712,0.8690792126400295,-,-
2,0.001945953666604076,0.8157878615048609,-,-
3,0.0013308699705714515,0.8421249096679249,-,-
4,0.00021146002971039984,0.948280433587376,-,-
5,0.00029454872635110155,0.9277230198560844,-,-
6,0.00040537550983981915,0.9148011200048689,-,-
7,0.00036375024408980824,0.9233570813693929,-,-
8,0.0002981439906375876,0.9362161240512947,-,-
9,0.0002767613202465216,0.9415756037437257,-,-
0,0.00021821901033489152,0.9508562645180311,-,-
1,0.0003332587661801001,0.9382287443463663,-,-
2,0.0007170628115871139,0.8816853992861062,-,-
3,0.0014672936503260772,0.8476430559920805,-,-
4,0.0007830550797661597,0.8834590913987311,-,-
5,0.00034162132688397395,0.9422018631350665,-,-
6,0.0003249532440092657,0.9300017547106253,-,-
7,0.0004482669971528698,0.9181810390199409,-,-
8,0.0005078606486940048,0.9239308468194078,-,-
9,0.0004120059123314588,0.9338881519906442,-,-
0,0.0003250469387900915,0.9412092363822904,-,-
1,0.0002947829586669691,0.9484173773294159,-,-
2,0.0004214671233371643,0.9317075068594958,-,-
3,0.0006036204597030449,0.9096415190370292,-,-
4,0.001003745465155394,0.8791004690005014,-,-
5,0.0010041377168446065,0.8946557168821764,-,-
6,0.00018318594812085108,0.9541951421318295,-,-
7,0.0002122953962088012,0.9473501080467781,-,-
8,0.0002712807982122209,0.9325085102421481,-,-
9,0.00020893596227563682,0.9487995883815746,-,-
0,0.0002139240373362375,0.9511522283163089,-,-
1,0.00019262532003748317,0.9523348945536112,-,-
2,0.00016061340086062948,0.9562609664359356,-,-
3,0.00022583667818830774,0.9472400079695305,-,-
4,0.00030185992651478376,0.9364769657349288,-,-
5,0.0007458554645803098,0.8953040596353067,-,-
6,0.0004034292952044294,0.9255440567105421,-,-
7,0.0001355190314637947,0.9653715313399098,-,-
8,0.00015358984128048073,0.9576728409574641,-,-
9,0.0001830252717431198,0.9481985124069552,-,-
0,0.00015183352442576094,0.9587778758319795,-,-
1,0.0001304239868811501,0.964913738913002,-,-
2,0.00012343686595965312,0.9653180975739549,-,-
3,9.381950566661507e-05,0.9715679950811285,-,-
4,0.0001219733733428645,0.9657997417769398,-,-
5,0.00016217249594075123,0.954998576721901,-,-
6,0.00047249131982682,0.9301521817223134,-,-
7,0.0002446221741610784,0.9432612669358893,-,-
8,0.0001235780862757831,0.9704214000646432,-,-
9,0.00011133820005382778,0.967950472055871,-,-
0,0.0001253539021098699,0.9603078746367174,-,-
1,9.677694459867833e-05,0.9686804647498856,-,-
2,0.00022274084251246666,0.970799380389732,-,-
3,0.0001981296445366911,0.9713991884768621,-,-
4,6.586625887019612e-05,0.9777030820345006,-,-
5,9.786206087458953e-05,0.9726329305100425,-,-
6,9.693767683853048e-05,0.9689233963818926,-,-
7,0.00029586818209095594,0.948919388420153,-,-
8,0.0002490692638807009,0.9502311993667686,-,-
9,0.0007321558831412223,0.8569021228269965,-,-
0,0.0013811079231838732,0.8099460507486214,-,-
1,0.001739822357540087,0.8207292348786406,-,-
2,0.0022181720193908596,0.8173194886928294,-,-
3,0.0019715028826852487,0.8270782225920231,-,-
4,0.0017712415467819832,0.8171785944647402,-,-
5,0.0011761049716628477,0.845725408062355,-,-
6,0.001005690328654861,0.8601785013828206,-,-
7,0.0006269765675849376,0.8714385414442452,-,-
8,0.0014087151614169656,0.8219545540528135,-,-
9,0.0010540986914006976,0.809587782022506,-,-
0,0.000545972154856426,0.9048166363795767,-,-
1,0.0006437181010805021,0.9075325173687486,-,-
2,0.0006085503865182804,0.9035380807734663,-,-
3,0.0008302697638357414,0.8921932722547956,-,-
4,0.0012945195223755775,0.8965776119557807,-,-
5,0.00042849004858176953,0.9234646739915195,-,-
6,0.0003227248244420548,0.9164110543122647,-,-
7,0.0005998975050884381,0.9018750433064041,-,-
8,0.0005023694529052072,0.8967415098851772,-,-
9,0.00035181057193694505,0.9062185958741892,-,-
0,0.0003167159377100437,0.9150359589382062,-,-
1,0.00027956841029266947,0.9358814251734678,-,-
2,0.00028750246202772714,0.9386060182698578,-,-
3,0.0003037494929046596,0.9299313171117523,-,-
4,0.0003711248863191502,0.933455471713359,-,-
5,0.0003783941291215488,0.9328891099119782,-,-
6,0.00024361690855029426,0.9474533601007658,-,-
7,0.0002840790447875927,0.9268133109008408,-,-
8,0.0003871128072465476,0.9295823224658799,-,-
9,0.0003518007933470507,0.9217215212921591,-,-
0,0.0002565598364310484,0.9367039715189759,-,-
1,0.0002011477491507242,0.9458809022938734,-,-
2,0.0002578375181216757,0.9407566340116542,-,-
3,0.00030387364953155985,0.9426397711913722,-,-
4,0.0003058123262147429,0.932339059737713,-,-
5,0.0002615578719247236,0.9375821883724141,-,-
6,0.0002253755948862854,0.9443307472117943,-,-
7,0.00014433897711882887,0.9565785463961541,-,-
8,0.00029306619774745207,0.9335990628019568,-,-
9,0.0005203878451290156,0.9276745652007733,-,-
0,0.0007235827299399009,0.9227700982660625,-,-
1,0.0003063312335737452,0.9379489950110015,-,-
2,0.000267218326659542,0.9443519857660682,-,-
3,0.00016288711842815038,0.9586536874408823,-,-
4,0.0001315177223279273,0.960642144392425,-,-
5,0.00013308629078516025,0.9569543170167638,-,-
