Image Pair,Dice,SSIM,MSE,Mean Dice,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.6132141411688002,0.0023029134707843587,0.7517039075909735,-,-,-,-,-
1,0.6829581988211777,0.002526818259995463,0.7487157875127549,-,-,-,-,-
2,0.6578887221597147,0.0023848080688391466,0.7591355746141574,-,-,-,-,-
3,0.6381906638805761,0.002641427620861769,0.7319802680913698,-,-,-,-,-
4,0.611680101245613,0.0021617297759283006,0.7552304878093318,-,-,-,-,-
5,0.659107942566324,0.0023335727588909448,0.7800379323862109,-,-,-,-,-
6,0.7118961151774338,0.0029335453715358876,0.7380400303639412,-,-,-,-,-
7,0.5568846392024992,0.0026152608295632856,0.751122607141927,-,-,-,-,-
8,0.5406694703701466,0.002153399669904547,0.7728496710749516,-,-,-,-,-
9,0.5923597492238968,0.002853517033345613,0.7272143055083151,-,-,-,-,-
10,0.6792914292161838,0.0030306804696412113,0.7032856471861173,-,-,-,-,-
11,0.7316728230931591,0.0022051050143484592,0.7637826221051705,-,-,-,-,-
12,0.5919579259928492,0.0028107910743525367,0.7695288418003173,-,-,-,-,-
13,0.5911998099219884,0.0024943222450067638,0.7642193303952325,-,-,-,-,-
14,0.6016085020420889,0.0027591437824937633,0.7490890442735831,-,-,-,-,-
15,0.5962238348793589,0.002815124363198566,0.7330810081364303,-,-,-,-,-
16,0.7385045164490752,0.0022251894640435903,0.7701413403420269,-,-,-,-,-
17,0.5962293738573025,0.002432167162985029,0.7743709492496714,-,-,-,-,-
18,0.5391334982165151,0.0031582596140344423,0.7359911465295873,-,-,-,-,-
19,0.5520693391130442,0.002306820232395701,0.7695449421863321,-,-,-,-,-
20,0.6681302696483782,0.0022119658784781984,0.7767630850143523,-,-,-,-,-
21,0.7091849419430563,0.0023521503469065524,0.7654375719816455,-,-,-,-,-
22,0.7567075926210937,0.0022687884780332604,0.7715440783215183,-,-,-,-,-
23,0.6739362938941303,0.0023608018634809842,0.7633440705865482,-,-,-,-,-
24,0.5742840130680145,0.003356108720197248,0.7454224466173214,-,-,-,-,-
25,0.61090332117924,0.004065156008629837,0.7063705231391474,-,-,-,-,-
26,0.6624253328110733,0.002467863576604342,0.772738937261971,-,-,-,-,-
27,0.6538952899220583,0.0027119598994411595,0.7627691035422269,-,-,-,-,-
28,0.5873971102963695,0.0043098660976014,0.7067025467691619,-,-,-,-,-
