Image Pair,Dice,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
1,0.0023029134707843587,0.7517039075909735,1.5755157470703125,-,-,-,-
2,0.002526818259995463,0.7487157875127549,0.021093130111694336,-,-,-,-
3,0.0023848080688391466,0.7591355746141574,0.023015975952148438,-,-,-,-
4,0.002641427620861769,0.7319802680913698,0.020986080169677734,-,-,-,-
5,0.0021617297759283006,0.7552304878093318,0.01729893684387207,-,-,-,-
6,0.0023335727588909448,0.7800379323862109,0.017215967178344727,-,-,-,-
7,0.0029335453715358876,0.7380400303639412,0.018930435180664062,-,-,-,-
8,0.0026152608295632856,0.751122607141927,0.021601438522338867,-,-,-,-
9,0.002153399669904547,0.7728496710749516,0.02042531967163086,-,-,-,-
10,0.002853517033345613,0.7272143055083151,0.01721668243408203,-,-,-,-
11,0.0030306804696412113,0.7032856471861173,0.022001266479492188,-,-,-,-
12,0.0022051050143484592,0.7637826221051705,0.01995682716369629,-,-,-,-
13,0.0028107910743525367,0.7695288418003173,0.019993305206298828,-,-,-,-
14,0.0024943222450067638,0.7642193303952325,0.023267269134521484,-,-,-,-
15,0.0027591437824937633,0.7490890442735831,0.01899242401123047,-,-,-,-
16,0.002815124363198566,0.7330810081364303,0.017436981201171875,-,-,-,-
17,0.0022251894640435903,0.7701413403420269,0.01978468894958496,-,-,-,-
18,0.002432167162985029,0.7743709492496714,0.027544260025024414,-,-,-,-
19,0.0031582596140344423,0.7359911465295873,0.017115354537963867,-,-,-,-
20,0.002306820232395701,0.7695449421863321,0.0238800048828125,-,-,-,-
21,0.0022119658784781984,0.7767630850143523,0.020081043243408203,-,-,-,-
22,0.0023521503469065524,0.7654375719816455,0.025209426879882812,-,-,-,-
23,0.0022687884780332604,0.7715440783215183,0.017236709594726562,-,-,-,-
24,0.0023608018634809842,0.7633440705865482,0.017174720764160156,-,-,-,-
25,0.003356108720197248,0.7454224466173214,0.026276588439941406,-,-,-,-
26,0.004065156008629837,0.7063705231391474,0.023084163665771484,-,-,-,-
27,0.002467863576604342,0.772738937261971,0.0181429386138916,-,-,-,-
28,0.0027119598994411595,0.7627691035422269,0.029995441436767578,-,-,-,-
29,0.0043098660976014,0.7067025467691619,0.021105051040649414,-,-,-,-
30,0.0033106934951028675,0.7512900894200417,0.023557424545288086,-,-,-,-
31,0.0027381973235276174,0.768181458656227,0.025099754333496094,-,-,-,-
32,0.0028077718996138757,0.7265344884669229,0.01725625991821289,-,-,-,-
33,0.0022752052788413005,0.7523247678004253,0.021124839782714844,-,-,-,-
34,0.0021018539543765278,0.7707790874971313,0.02554035186767578,-,-,-,-
35,0.0027426496859990954,0.7324367171723961,0.028658390045166016,-,-,-,-
36,0.002491574880199406,0.7459677824787154,0.02848649024963379,-,-,-,-
37,0.0024500549062794383,0.7776421727170438,0.024118423461914062,-,-,-,-
38,0.0028535756196756525,0.7491808125671181,0.017308950424194336,-,-,-,-
39,0.0022880018295210174,0.7584618719945989,0.017579078674316406,-,-,-,-
40,0.0022592003247127105,0.7621058813305905,0.02208256721496582,-,-,-,-
41,0.002542957881615197,0.7562321221472024,0.02502918243408203,-,-,-,-
42,0.0024620524655917463,0.7464289647389208,0.023209810256958008,-,-,-,-
43,0.0029869808424528798,0.7564712304099342,0.017841100692749023,-,-,-,-
44,0.0028873206593190777,0.7449883918926229,0.021531105041503906,-,-,-,-
45,0.0033434218080817145,0.7240378444043726,0.0234529972076416,-,-,-,-
46,0.002729806117163077,0.7650122709692331,0.02048516273498535,-,-,-,-
47,0.0026572704199435177,0.7692238272415599,0.028317689895629883,-,-,-,-
48,0.0031747411746009036,0.7325291794688709,0.017802000045776367,-,-,-,-
49,0.0024357925713403006,0.7695592079597524,0.022053003311157227,-,-,-,-
50,0.002314986152060605,0.781064126831877,0.023923635482788086,-,-,-,-
51,0.0022368406395536057,0.7612047276248808,0.028908729553222656,-,-,-,-
52,0.0021021458318917514,0.7710387022855107,0.01818990707397461,-,-,-,-
53,0.0020915078834529885,0.7519035639546345,0.019507169723510742,-,-,-,-
54,0.0027073227704034865,0.7510088036792146,0.03177309036254883,-,-,-,-
55,0.0029788744906954416,0.7475146756718397,0.022130489349365234,-,-,-,-
56,0.0028893265818383065,0.7529248637851942,0.026304006576538086,-,-,-,-
57,0.003085300390872033,0.7424714886520235,0.021277427673339844,-,-,-,-
58,0.0031170394855297564,0.7215310087193205,0.019774675369262695,-,-,-,-
59,0.0026072175288671673,0.7481437286715559,0.02916264533996582,-,-,-,-
60,0.0022127168004544727,0.7742876260437371,0.01938152313232422,-,-,-,-
61,0.0026986657222235993,0.7415154550540894,0.022249698638916016,-,-,-,-
62,0.0027946679775748607,0.7490559682437695,0.0186769962310791,-,-,-,-
63,0.002781540518032936,0.765399611665362,0.0196530818939209,-,-,-,-
64,0.0028036213553740198,0.7541006062670492,0.01815009117126465,-,-,-,-
65,0.002597016617217622,0.7434641308917389,0.025751829147338867,-,-,-,-
66,0.0023108896615946506,0.7411971155695783,0.028167724609375,-,-,-,-
67,0.00214727220617353,0.7693669717959374,0.01782393455505371,-,-,-,-
68,0.002451862602752127,0.7664161067803582,0.019455432891845703,-,-,-,-
69,0.002209551417400313,0.7661271942076461,0.026360511779785156,-,-,-,-
70,0.0022269040554452483,0.7679171367645269,0.02965378761291504,-,-,-,-
71,0.002584451859900542,0.7652990328657221,0.020095109939575195,-,-,-,-
72,0.0035010044388849694,0.7131900595088931,0.03007340431213379,-,-,-,-
73,0.002868876219853907,0.7349072790978537,0.026398181915283203,-,-,-,-
74,0.0018690743838886803,0.7930373018998241,0.017592668533325195,-,-,-,-
75,0.0025207353167726156,0.7707157778483,0.02435588836669922,-,-,-,-
76,0.002502721934397319,0.7538570797402325,0.028514862060546875,-,-,-,-
77,0.0021821190662853597,0.7589574555942548,0.02833247184753418,-,-,-,-
78,0.0018111874945903495,0.7766460280851502,0.019700050354003906,-,-,-,-
79,0.002828675347769168,0.73339501036114,0.0233614444732666,-,-,-,-
80,0.002234603398958986,0.7788065143363753,0.025054454803466797,-,-,-,-
81,0.0022999393529935593,0.7528402942666637,0.020467042922973633,-,-,-,-
82,0.00266882693927896,0.7474088343250033,0.01696944236755371,-,-,-,-
83,0.0021253685734337205,0.7895048884075753,0.01984405517578125,-,-,-,-
84,0.001954702048266614,0.7735856389655431,0.02052760124206543,-,-,-,-
85,0.0023385087595707787,0.7566883627927377,0.021134376525878906,-,-,-,-
86,0.0025382721862618734,0.7467068103354153,0.0238187313079834,-,-,-,-
87,0.0025484380471008095,0.755896625663405,0.018984556198120117,-,-,-,-
88,0.002448079505800334,0.7597329947086777,0.019016027450561523,-,-,-,-
