Image Pair,Dice,SSIM,MSE,Mean Dice,Mean SSIM,Mean MSE
1,0.4894201092387577,0.0015986247219539988,0.8248929025617419,-,-,-
2,0.3722350054227631,0.0029912790230345863,0.7754893089573349,-,-,-
3,0.5091105207948676,0.001516974774493815,0.8505884968603952,-,-,-
4,0.48762118293351886,0.002044263346843265,0.7842074022536841,-,-,-
5,0.47628793766987465,0.0028804828226016575,0.8181161081152071,-,-,-
6,0.5277703410911003,0.0028561795937625894,0.8327710468276424,-,-,-
7,0.49841662801825964,0.002444113659855916,0.803583977063944,-,-,-
8,0.4123008472855904,0.0022143531107257004,0.8223219871374615,-,-,-
9,0.45742913615255076,0.003605787880032412,0.7950746715051649,-,-,-
0,0.4492367498724545,0.003100457445787646,0.7569339271978481,-,-,-
1,0.47677099033106507,0.0032865727231066216,0.7544531608174293,-,-,-
2,0.43065637890757574,0.0033107165021928893,0.7838648882771866,-,-,-
3,0.4583066548296348,0.001909779885933859,0.8383511673047845,-,-,-
4,0.4733688565273087,0.002978296479540415,0.817741111636231,-,-,-
5,0.4903440044669112,0.0025009945876104116,0.8363309033662254,-,-,-
6,0.3604463653393736,0.005539902404040212,0.7352308253445047,-,-,-
7,0.47987786949043987,0.0017970257830176727,0.8380977218799363,-,-,-
8,0.4703805065125832,0.003454146983559899,0.8099785179411906,-,-,-
9,0.3238333948358843,0.007821812856736469,0.7354340488996727,-,-,-
0,0.4302294480250999,0.0013519139344773882,0.8699981593346245,-,-,-
1,0.5449675696732657,0.0017157847146586276,0.8420394691607126,-,-,-
2,0.33591967679392165,0.006369382808661441,0.7543520491627133,-,-,-
3,0.4871958795663977,0.0015514058129767266,0.8552380147965458,-,-,-
4,0.45467177765533395,0.0018649402424750856,0.8401194720934797,-,-,-
5,0.41274301368657695,0.003194403908460137,0.7773707669050907,-,-,-
6,0.5261071491536344,0.004792222809666607,0.7600444723574508,-,-,-
7,0.44785525365924544,0.0021570021930602838,0.8470586587932512,-,-,-
8,0.42729622578028625,0.00195278052561687,0.8522379095236203,-,-,-
9,0.4374723372932721,0.004723240987909418,0.7885370949263913,-,-,-
0,0.4205277356050949,0.003596081470167283,0.8190239530611851,-,-,-
1,0.4814027940791544,0.0030180061901315717,0.8127510057036933,-,-,-
2,0.40615996487564904,0.0027367675955729406,0.7620240601151738,-,-,-
3,0.48031448735371374,0.0018009929256264541,0.8255724713928871,-,-,-
4,0.4834858771004741,0.0030431796573076294,0.7972575143867086,-,-,-
5,0.4425550786498619,0.0022401764568744324,0.7869623336372239,-,-,-
6,0.41762268762192506,0.0018398741711534875,0.8386890875162404,-,-,-
7,0.5013981081016327,0.0028994156130661554,0.8258545993416941,-,-,-
8,0.340763410418496,0.0049533162024509286,0.7671251854479617,-,-,-
9,0.46026264841389825,0.0017267860778482672,0.8435824579167001,-,-,-
0,0.4845898832038845,0.002109960516577911,0.8271295432196587,-,-,-
1,0.5513356152115432,0.002083387463657006,0.821652590227031,-,-,-
2,0.40363875039594055,0.005837594376046266,0.7246016559748004,-,-,-
3,0.4472644725995123,0.002794272425247287,0.8030932485054053,-,-,-
4,0.4213028866536725,0.0034991866536485997,0.7845314487449145,-,-,-
5,0.441755850630566,0.0029711156016468112,0.8060372396352045,-,-,-
6,0.45392461902227593,0.0036553892131152566,0.7912652015787731,-,-,-
7,0.48065574341647366,0.002206587624642618,0.8407638086903889,-,-,-
8,0.3518541886803535,0.0034636196356682557,0.7654151403840613,-,-,-
9,0.5344800150119313,0.003355865914428103,0.8007574240074655,-,-,-
0,0.5443856869731417,0.002459942680606455,0.824175739622213,-,-,-
1,0.46096923736449574,0.0017947547549243368,0.8326584450341601,-,-,-
2,0.5483619850000723,0.0017870674469635853,0.8384825930305251,-,-,-
3,0.43857109537989714,0.0019162005766910465,0.8275163032294527,-,-,-
4,0.4915895755546304,0.002583083818989242,0.8180997970830066,-,-,-
5,0.4564373587370726,0.0019419660084415056,0.8556162186533371,-,-,-
6,0.35187067504175823,0.003587441301805983,0.7902630814193117,-,-,-
7,0.488196226688689,0.003170855536845514,0.7818359765483375,-,-,-
8,0.4334600809861108,0.003093629092217447,0.7867632385675518,-,-,-
9,0.4589448630585163,0.00175035059727068,0.8405587039255249,-,-,-
0,0.512970388641263,0.001608254372780303,0.8496047219666255,-,-,-
1,0.3834794971182026,0.005435778008919543,0.7221188410616387,-,-,-
2,0.5109427715721829,0.0021778812568996244,0.825697836405023,-,-,-
3,0.44688589096106174,0.0026780307056030826,0.825598561352582,-,-,-
4,0.3862550085788939,0.003638182153464301,0.7920666716932068,-,-,-
5,0.5183145718064464,0.002801968997909432,0.7942326484063387,-,-,-
6,0.4745525118925401,0.0022033338037957704,0.8128770175203098,-,-,-
7,0.4304067713500301,0.003456000167389559,0.7859988855084532,-,-,-
8,0.4840979489273768,0.003022191541166723,0.7872343869240869,-,-,-
9,0.49302941115020193,0.002025003414199093,0.8226250462550343,-,-,-
0,0.4247190524138706,0.0017278144112425737,0.8474422063320586,-,-,-
1,0.5101793678013341,0.0028313923899828397,0.8085837105242744,-,-,-
2,0.4044640774090178,0.0029678281579025895,0.796294502297168,-,-,-
