Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE
0,0.24082996653511937,0.0,0.004807985553466419,0.5957452876637332,-,-,-,-
1,0.24044310927525347,0.0,0.004019709318072635,0.6055126515005539,-,-,-,-
2,0.6724142282579173,0.4751592826706107,0.001542655851476651,0.9030575632784782,-,-,-,-
3,0.6503515522449062,0.45064352941932473,0.0020374522139908827,0.8438503418307439,-,-,-,-
4,0.663754574766047,0.49896913842992885,0.0037124972268215454,0.6052300317501318,-,-,-,-
5,0.6667026875191,0.5162688555736926,0.0011376360681489622,0.9115390922107347,-,-,-,-
6,0.6741661769024473,0.5202848879344505,0.00330396946457168,0.6244049245975891,-,-,-,-
7,0.700261477017683,0.5543532902212451,0.002570961082622116,0.6796782175068433,-,-,-,-
8,0.7164808519997211,0.5822941904296032,0.0010387359472293013,0.9243078586246994,-,-,-,-
9,0.712948786180909,0.5770011318507312,0.002752518728047099,0.7009148034297046,-,-,-,-
10,0.7182916369611303,0.6065036220214728,0.0008127527954086785,0.939651096875453,-,-,-,-
11,0.7027663516208194,0.5697746268938322,0.0026336320921438758,0.6742266683264704,-,-,-,-
12,0.6869373022358773,0.5349349398377169,0.000674817345179083,0.9499739305318948,-,-,-,-
13,0.6855852901202244,0.5439496056797186,0.0005987811821968271,0.9499837083423516,-,-,-,-
14,0.6499561398978474,0.5026471504204297,0.0008043146051068045,0.9075303592512945,-,-,-,-
15,0.6453288228409702,0.5021780822466277,0.0020409218085804255,0.7257286139620155,-,-,-,-
16,0.6331481795669401,0.525512967464826,0.00037125825477493174,0.9615430115378035,-,-,-,-
17,0.44458396957466484,0.08317815021725636,0.00410219636388685,0.7048605941586237,-,-,-,-
18,0.5164253698593063,0.21783181357649442,0.004123617763491187,0.6622680441761092,-,-,-,-
19,0.6881574344763075,0.5802863203486257,0.0018227603842617005,0.8675749297806784,-,-,-,-
20,0.6989790399948252,0.5776365933608257,0.0029739024908325773,0.6342555408999562,-,-,-,-
21,0.7226708989314095,0.6307996394418578,0.0011761224788086457,0.9086824874700569,-,-,-,-
22,0.729963308756824,0.6531268101148028,0.0011876158803165405,0.8790540064154848,-,-,-,-
23,0.7369784400815973,0.660904260587392,0.0025176239173428034,0.6592498999943285,-,-,-,-
24,0.7532700358269058,0.680355939510753,0.0010789074033591781,0.8829988134835636,-,-,-,-
25,0.7361433852130074,0.6511238994638728,0.001994389208211388,0.7299947815810996,-,-,-,-
26,0.7359668822220133,0.6555855824060582,0.0024060740675238557,0.700202675135386,-,-,-,-
27,0.6878696528423326,0.5778934571311748,0.0015215132841518875,0.8571806005366119,-,-,-,-
28,0.6599120623242059,0.5430690783951654,0.002291238698652526,0.7550466746981005,-,-,-,-
29,0.5885430067306209,0.4082103223904483,0.002443606216144104,0.6805307507863307,-,-,-,-
30,0.47951670090919374,0.3300623946505874,0.0017397620326735348,0.7856621993690587,-,-,-,-
31,0.46690978493546065,0.3388439046333783,0.0016909791757278667,0.7092955171834312,-,-,-,-
32,0.42352387519193213,0.2393344244408074,0.0017293077233257782,0.7106680259564679,-,-,-,-
33,1.0,1.0,0.0027773835025190685,0.676928001204048,-,-,-,-
34,1.0,1.0,0.0014705569126264222,0.9281091095896765,-,-,-,-
35,1.0,1.0,0.0009600748442242618,0.9411949859109675,-,-,-,-
36,1.0,1.0,0.0007369891856322316,0.9444696597691185,-,-,-,-
37,1.0,1.0,0.0005891429391186477,0.9363132046422188,-,-,-,-
38,1.0,1.0,0.0018926650659205836,0.7574547428586597,-,-,-,-
39,0.6766232350978172,0.5204007410965483,0.0030749782409468748,0.8552017885386585,-,-,-,-
40,0.6860333350539218,0.575041253122082,0.002895237743965584,0.8405028647263695,-,-,-,-
41,0.6799872133465727,0.5779878194983935,0.004350358848850677,0.6401494489698921,-,-,-,-
42,0.6729175324101155,0.5642225031605563,0.0042109816529889215,0.6774826581934874,-,-,-,-
43,0.6527030266560422,0.5461608441531852,0.005396751321825753,0.5872351459138275,-,-,-,-
44,0.6662431626770905,0.5623208858011289,0.004686741480570567,0.6259884475088273,-,-,-,-
45,0.6493830482500189,0.5447146470859118,0.0047787771102690895,0.6403514806230134,-,-,-,-
46,0.5913837462672729,0.504755905511811,0.004081057998625093,0.6590383085844291,-,-,-,-
47,0.5633155509422544,0.5022633020122027,0.0024776871493141536,0.8862620684827703,-,-,-,-
48,0.4846956052528276,0.39521263050674815,0.0030694867354107255,0.6304145249937736,-,-,-,-
49,0.4176163053493787,0.3383411580594679,0.002409653440671953,0.6685821784939759,-,-,-,-
50,0.2566288669732552,0.016420361247947456,0.0023989682632827134,0.6649721090875735,-,-,-,-
51,0.6575778052752341,0.5173452809286712,0.0026567334173170174,0.7206486583142971,-,-,-,-
52,0.6889950250225378,0.5959442202294103,0.0018487551220166118,0.8475082368225851,-,-,-,-
53,0.6903977516360891,0.6320982081711497,0.0016723364467997259,0.8476684385034673,-,-,-,-
54,0.7200128969885422,0.6571308392387101,0.0029701466213200626,0.8700226965763689,-,-,-,-
55,0.7347877205637218,0.6659194358401008,0.0028268454681733743,0.7158785189158251,-,-,-,-
56,0.7337448063273476,0.6531281889950117,0.005074328477545147,0.6183205400829136,-,-,-,-
57,0.7228069109252823,0.628731008099978,0.003136445417342304,0.8587776367092809,-,-,-,-
58,0.7199739780834,0.6441618341804178,0.0024913453328289166,0.7221096778566031,-,-,-,-
59,0.6732948392504056,0.5650696411992677,0.00253503586917136,0.883112769917325,-,-,-,-
60,0.7009911064628319,0.5838428429533165,0.0028907597570379372,0.8718930799580088,-,-,-,-
61,0.6341619665806439,0.5553300865800865,0.003982008869751889,0.620869828794128,-,-,-,-
62,0.6266360097287661,0.5741003939103587,0.0018759664383026873,0.9074528737720612,-,-,-,-
63,0.519437869038228,0.4685642466199902,0.0019550363119209516,0.8823649881087098,-,-,-,-
64,0.49708553751730555,0.4970996760184738,0.0023924372379537685,0.7369603264920865,-,-,-,-
65,0.8187709619271317,0.64,0.002879252046230051,0.7175158475373368,-,-,-,-
66,1.0,1.0,0.0042662821938665345,0.6736831237644274,-,-,-,-
67,1.0,1.0,0.005299407626484502,0.6174286777106865,-,-,-,-
68,1.0,1.0,0.00470254388836139,0.6589167727670178,-,-,-,-
69,1.0,1.0,0.00403671667817339,0.6519104606518287,-,-,-,-
70,1.0,1.0,0.0017409864273557468,0.8061289087569878,-,-,-,-
71,1.0,1.0,0.0016096545647449683,0.815663817568008,-,-,-,-
72,1.0,1.0,0.0014950600308919401,0.7688756808795338,-,-,-,-
73,0.6484586069012077,0.4970414880328812,0.002934530040952275,0.6487334352800033,-,-,-,-
74,0.7556880974743556,0.6669582606791827,0.0008530861281107466,0.9052771036855681,-,-,-,-
75,0.7873676248974041,0.6976064247782517,0.0009060181989803914,0.8776539719366044,-,-,-,-
76,0.7924868024230112,0.715090938296121,0.001969715250042276,0.6627212145056633,-,-,-,-
77,0.7923831527921646,0.7174796691889058,0.002109117178730215,0.6393691988354635,-,-,-,-
78,0.7442512401714643,0.6696811796934197,0.0022721065079376944,0.6598933809301013,-,-,-,-
79,0.7247985930656402,0.665868235577287,0.001628234091718407,0.7279619779028182,-,-,-,-
80,0.7259671864878552,0.5683327062904713,0.0019930229155227385,0.7375580190170815,-,-,-,-
81,0.4946949969527398,0.5,0.002710659030471339,0.8742352236245214,-,-,-,-
82,0.4240118309652694,0.040675844806007506,0.004049319469306306,0.6552963424838253,-,-,-,-
83,0.478253753492601,0.12087912087912088,0.0020165466712202093,0.8777380359764915,-,-,-,-
84,0.505260168522724,0.17174515235457063,0.0019663330759914885,0.8661494721950341,-,-,-,-
85,0.6426356166017093,0.4672193067839069,0.002949060463528374,0.6854640362002816,-,-,-,-
86,0.7065871637450957,0.5728809594478346,0.003264229785919514,0.6487001267417031,-,-,-,-
87,0.7822306144575883,0.6769754062362758,0.0016238424602124904,0.7676490726728016,-,-,-,-
