Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.2407594936708861,0.0,0.003053727717853338,0.843720645893071,-,-,-,-,-,-
1,0.24080809974688291,0.0,0.0024221477995111716,0.8352565643068857,-,-,-,-,-,-
2,0.8438072754631795,0.7273951487996313,0.0018881540274734887,0.8643004845406265,-,-,-,-,-,-
3,0.8626415131862026,0.7672714810559125,0.0017715770653031326,0.8697989165477399,-,-,-,-,-,-
4,0.8678679898504618,0.7935109624507559,0.0014834570167219627,0.8798648410726094,-,-,-,-,-,-
5,0.8794654728616886,0.822159810410121,0.0012145316796739576,0.8885978744423759,-,-,-,-,-,-
6,0.8768496520020896,0.8189926629128081,0.0010893817752239247,0.886662691484298,-,-,-,-,-,-
7,0.8826746032189522,0.8290491860250437,0.0011877522114544109,0.8977158963130311,-,-,-,-,-,-
8,0.8772006240199076,0.8235043662976378,0.0008905871760390759,0.9099763653881349,-,-,-,-,-,-
9,0.9034586785278655,0.8550930957038325,0.0009000925637403417,0.9103637195168733,-,-,-,-,-,-
10,0.9040939504863923,0.8624513781546272,0.0007547085520581804,0.9188605948809679,-,-,-,-,-,-
11,0.894230296521083,0.843149030741364,0.0005672485270502651,0.9274756811667821,-,-,-,-,-,-
12,0.877671151411313,0.7983038549578925,0.0006118059002691985,0.9282429936706831,-,-,-,-,-,-
13,0.8680705781182674,0.7923772465147528,0.0005770843517360562,0.9306495122116336,-,-,-,-,-,-
14,0.8504557833556212,0.7595345981255637,0.0006117644133954283,0.9310919966098431,-,-,-,-,-,-
15,0.8089350321342423,0.7039352888296524,0.0006123569288096336,0.9352458708782603,-,-,-,-,-,-
16,0.8003350433342189,0.7048641692304599,0.0005716146618678666,0.9390125242000114,-,-,-,-,-,-
17,0.6181572345841542,0.30895260386190754,0.0019824032964273785,0.8611801131367334,-,-,-,-,-,-
18,0.6489262424355113,0.3914327917282127,0.0017995857900869894,0.8792989891522613,-,-,-,-,-,-
19,0.8293768763639366,0.7751524368928508,0.001794505370850489,0.874926119924279,-,-,-,-,-,-
20,0.8676195892032412,0.8153670426921594,0.001660656109489537,0.8674232811684781,-,-,-,-,-,-
21,0.8641565519560215,0.830187217898705,0.0012404321940822475,0.8788380506333441,-,-,-,-,-,-
22,0.8917828097096335,0.8648522905185251,0.0008938128698494024,0.8903729975953415,-,-,-,-,-,-
23,0.8956469859791589,0.8494951253481895,0.0009584030949147425,0.8893004661106505,-,-,-,-,-,-
24,0.9166659277281559,0.8862019098496757,0.0009704184794710528,0.8873516924021366,-,-,-,-,-,-
25,0.9128229137007081,0.8707834393281165,0.0010266340851960523,0.8837323058598098,-,-,-,-,-,-
26,0.9035635037373906,0.8604320431113097,0.0013011256535148336,0.8660654686833122,-,-,-,-,-,-
27,0.8770606752911202,0.8375725022846379,0.0015039478557185193,0.8541451193480708,-,-,-,-,-,-
28,0.8455391743300336,0.7742814087179773,0.0018650970783618984,0.8449291027111163,-,-,-,-,-,-
29,0.8575737178016812,0.7915505647293355,0.0015511492809484229,0.839098743703471,-,-,-,-,-,-
30,0.7394555223370914,0.7060888236210311,0.001492399596085879,0.8353688696752273,-,-,-,-,-,-
31,0.6984678466390616,0.6661986661986662,0.0015336658702514874,0.8341266462957401,-,-,-,-,-,-
32,0.6131086166555448,0.6057911113175127,0.0016133472069814812,0.8275861073194083,-,-,-,-,-,-
33,0.876452917754845,0.841539717753946,0.0012732725958645409,0.8710159596298624,-,-,-,-,-,-
34,0.8326003203387329,0.8280820608406815,0.0014138450086432918,0.8837681427532541,-,-,-,-,-,-
35,0.8609717618645265,0.8421407638275108,0.0009562798105207784,0.8954554608740886,-,-,-,-,-,-
36,0.8373925822199716,0.7942263578057529,0.0008833601308766619,0.9106515204448874,-,-,-,-,-,-
37,0.8706556430904435,0.8446021839191971,0.0007870478819279321,0.9190605254479002,-,-,-,-,-,-
38,0.798817229871338,0.7744612487976588,0.0006856525588883844,0.9187291443877942,-,-,-,-,-,-
39,0.8315117335524118,0.7310935388215358,0.002545190257056967,0.8702411199640737,-,-,-,-,-,-
40,0.8558232089378908,0.7763998154623155,0.0025240562001938643,0.8680686390483688,-,-,-,-,-,-
41,0.9064462660728201,0.8724715549936789,0.0020132802895163737,0.8907679217710051,-,-,-,-,-,-
42,0.912395099871546,0.874423571671278,0.002268459890606393,0.882835367441814,-,-,-,-,-,-
43,0.8845085049941116,0.8184717206164716,0.002477432627091606,0.8907407090872848,-,-,-,-,-,-
44,0.8665274995123761,0.8295434765408656,0.0021633830771960842,0.8967406952918335,-,-,-,-,-,-
45,0.8694227378914063,0.8246705057846169,0.0016344577869693408,0.9059998264536516,-,-,-,-,-,-
46,0.8567575186946615,0.7960368011323425,0.0015587694926003123,0.9107385370913874,-,-,-,-,-,-
47,0.8787655361654402,0.8377840387088871,0.00121366829708359,0.9167343572167369,-,-,-,-,-,-
48,0.7087629224523093,0.6563946659296622,0.0014122581175429207,0.912105124456296,-,-,-,-,-,-
49,0.5233159835722845,0.5489540193267495,0.0013832074597615188,0.9180236680173404,-,-,-,-,-,-
50,0.25152285896946214,0.0056179775280898875,0.001329019309491933,0.9210670597735626,-,-,-,-,-,-
51,0.7732752121091996,0.6761959124418364,0.0016005517785311065,0.8697367810401079,-,-,-,-,-,-
52,0.7989363510169103,0.7426825910068044,0.0017044913051275962,0.8574805404623078,-,-,-,-,-,-
53,0.7953893430526211,0.7644529162302538,0.0014728056821777977,0.8642301702318519,-,-,-,-,-,-
54,0.8521260768518766,0.8309016640168029,0.002337291291168301,0.8608106408944763,-,-,-,-,-,-
55,0.868502724554114,0.8452149522831055,0.0015857357512015066,0.8621942950825027,-,-,-,-,-,-
56,0.8696571732226994,0.8376054985396321,0.0017315827779085704,0.8749995288986236,-,-,-,-,-,-
57,0.9137727385321418,0.8874043463861454,0.0018304736480752374,0.8649102008970965,-,-,-,-,-,-
58,0.8812424664656809,0.8534451921412188,0.0009559056287860752,0.8823750449748089,-,-,-,-,-,-
59,0.9030292434400762,0.8760373306246556,0.0009500813233753939,0.8953439818554957,-,-,-,-,-,-
60,0.8949071800489049,0.8442009335707733,0.0010055720981499313,0.9060378503315899,-,-,-,-,-,-
61,0.859227438053036,0.8468514014520081,0.0007601198673808954,0.9132332888667327,-,-,-,-,-,-
62,0.8031019736153484,0.8023635986189808,0.0008455007073791288,0.906310145382868,-,-,-,-,-,-
63,0.642491401604078,0.6171348031813148,0.0008938393160629912,0.9138351245107798,-,-,-,-,-,-
64,0.5684691028487664,0.6386017103305994,0.0012035451267229894,0.9066376526410206,-,-,-,-,-,-
65,0.8584646649060672,0.7180094786729858,0.0011990923719972018,0.9160896305711541,-,-,-,-,-,-
66,0.8035302558740629,0.7424899061399091,0.002702644403486737,0.8465351963181282,-,-,-,-,-,-
67,0.7482015949415085,0.6955471012791008,0.0020132884224076243,0.8709277293571861,-,-,-,-,-,-
68,0.7465485729020478,0.6835855328358877,0.001734972048144062,0.8791993062234567,-,-,-,-,-,-
69,0.7598181605848853,0.7369035123421088,0.001976490858418332,0.8536833751269173,-,-,-,-,-,-
70,0.7497486217702973,0.7018111148545931,0.0012152115473085272,0.8879037582288439,-,-,-,-,-,-
71,0.6720868846414669,0.7035033697377839,0.001160107537449749,0.8899105586051874,-,-,-,-,-,-
72,0.983745295612437,0.9677595628415301,0.0011200762012610343,0.886653041313256,-,-,-,-,-,-
73,0.7856473075030463,0.6997287839464474,0.0016286195190888637,0.8617840395938624,-,-,-,-,-,-
74,0.867438676184921,0.8316344878221911,0.0010438693642809721,0.8846945675604148,-,-,-,-,-,-
75,0.8781090144218585,0.8299736430623833,0.0008809230155079062,0.8956248306007724,-,-,-,-,-,-
76,0.8636782306111583,0.8155661582703082,0.000932241899745039,0.8905182909385256,-,-,-,-,-,-
77,0.8688778329698719,0.8233596834484509,0.0008551772264587738,0.8977448010062045,-,-,-,-,-,-
