Image Pair,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.9825744282008837,4.797687947275585e-05,-,-,-,-
1,0.973719055855599,8.919248875327488e-05,-,-,-,-
2,0.9713693956806467,0.0001465435736055392,-,-,-,-
3,0.9715419093071507,0.00019716317845127788,-,-,-,-
4,0.9733558645564778,0.00018659740250988874,-,-,-,-
5,0.9771143455305106,0.00014197643091666984,-,-,-,-
6,0.9785978542119526,0.00011564453289893737,-,-,-,-
7,0.9792731351881929,9.197880496289513e-05,-,-,-,-
8,0.9785570029432746,7.559632133337706e-05,-,-,-,-
9,0.9705780875389773,0.00015154575437579038,-,-,-,-
10,0.9654771240263142,0.00020621626035362194,-,-,-,-
11,0.9842708017922324,4.512914887092249e-05,-,-,-,-
12,0.9778649837956848,7.822964529824541e-05,-,-,-,-
13,0.9754876843621074,0.00012381092629978275,-,-,-,-
14,0.9775796097492104,0.00010654712899712438,-,-,-,-
15,0.9797974845995703,9.649624807692407e-05,-,-,-,-
16,0.9809717994130108,8.220692000107056e-05,-,-,-,-
17,0.9843074384536864,5.522325124365722e-05,-,-,-,-
18,0.9808832266082839,8.999321774714962e-05,-,-,-,-
19,0.9772606476308144,0.00010214482504241158,-,-,-,-
20,0.9710817050329453,0.00015018312027426548,-,-,-,-
21,0.9695188102832293,0.0001665541261874741,-,-,-,-
22,0.9844431280812472,4.6027923312604756e-05,-,-,-,-
23,0.981774160636611,5.641372434412078e-05,-,-,-,-
24,0.9794506797985277,7.692574166566389e-05,-,-,-,-
25,0.9784364076400509,8.78641655564365e-05,-,-,-,-
26,0.9829886016539606,6.492285166935812e-05,-,-,-,-
27,0.9835364854887332,5.511189616789167e-05,-,-,-,-
28,0.9849678846359576,4.317201180133642e-05,-,-,-,-
29,0.983751904944569,5.980541022532836e-05,-,-,-,-
30,0.9770812964864858,0.00011416236633170917,-,-,-,-
31,0.9713416816449452,0.0001830712809483011,-,-,-,-
32,0.9726786070506324,0.00016034010183452998,-,-,-,-
33,0.9844168880171534,4.407139797219368e-05,-,-,-,-
34,0.9817790007289887,5.293449332114677e-05,-,-,-,-
35,0.980098913876433,6.570160431821086e-05,-,-,-,-
36,0.9811576366327668,6.10751250436009e-05,-,-,-,-
37,0.9831611314054883,5.3442916636533815e-05,-,-,-,-
38,0.9839365045159653,4.857528916681662e-05,-,-,-,-
39,0.9855175539451174,3.8685336059032815e-05,-,-,-,-
40,0.9843670878934825,4.8536340041063616e-05,-,-,-,-
41,0.9800502379801859,8.211290198360528e-05,-,-,-,-
42,0.9739016107535704,0.00016466206104908104,-,-,-,-
43,0.975995697395395,0.0001104204953252609,-,-,-,-
44,0.9824530092054519,5.6495775020935545e-05,-,-,-,-
45,0.9810865188054299,6.204679304449716e-05,-,-,-,-
46,0.9784826459112174,7.861596683721015e-05,-,-,-,-
47,0.9800389917285997,7.446176937147701e-05,-,-,-,-
48,0.9814442008730069,6.740855779384685e-05,-,-,-,-
49,0.9815175306485114,6.004948727408301e-05,-,-,-,-
50,0.9839886034356629,4.489911189821089e-05,-,-,-,-
51,0.9817090813681602,6.503335248079322e-05,-,-,-,-
52,0.9788074877141633,8.395355478962682e-05,-,-,-,-
53,0.9759119587823717,0.00012391910537584298,-,-,-,-
54,0.9762258857295834,0.00013611260098010702,-,-,-,-
55,0.9849299441014413,4.0510970883558204e-05,-,-,-,-
56,0.9836871571419208,4.2584590032295365e-05,-,-,-,-
57,0.9821945183440474,4.833634047007783e-05,-,-,-,-
58,0.9832243488615622,4.724428066679698e-05,-,-,-,-
59,0.9839748931361536,4.404368164922616e-05,-,-,-,-
60,0.983942179213743,4.1374948330700854e-05,-,-,-,-
61,0.9854670972544921,3.431196915165104e-05,-,-,-,-
62,0.9842427441158255,4.520191929817836e-05,-,-,-,-
63,0.981883675389468,5.617123443840101e-05,-,-,-,-
64,0.9792867575008889,8.053415308625436e-05,-,-,-,-
65,0.9796677279211851,7.123870195682657e-05,-,-,-,-
66,0.9871851212346291,3.0187318938468627e-05,-,-,-,-
67,0.9858461708213265,3.164824200019831e-05,-,-,-,-
