Image Pair,MSE,SSIM,Mean MSE,Mean SSIM
1,0.00030190955794550593,0.9152483715028986,-,-
2,0.0006896582869653069,0.8386942225088684,-,-
3,0.001299372397569693,0.8364550221241248,-,-
4,0.0014499461936495423,0.8469673345190483,-,-
5,0.0015659582596125779,0.8470089787960963,-,-
6,0.0011198737736387093,0.8670345851163235,-,-
7,0.0008672329575435297,0.883152875049275,-,-
8,0.0006795303313302151,0.8901779577462571,-,-
9,0.0005742041682974862,0.8843956721755648,-,-
0,0.0013114296929798667,0.8244497399159049,-,-
1,0.001472527644326322,0.8047582572608428,-,-
2,0.000344926643545135,0.9233196057936366,-,-
3,0.0006231238040963776,0.8726173325103609,-,-
4,0.0009076659905908639,0.8704835486101642,-,-
5,0.0007626198151355488,0.8864948899072785,-,-
6,0.0006305348989697844,0.8983960450532089,-,-
7,0.0005948098714782612,0.9053730939383651,-,-
8,0.0003447053786734507,0.9310460861877506,-,-
9,0.0006234688378470209,0.9064632182745277,-,-
0,0.00087481558264055,0.8675332353698245,-,-
1,0.0012971351595566197,0.8095801459433779,-,-
2,0.0012245453494112684,0.8255008545373437,-,-
3,0.00033083933201355053,0.9320347210982951,-,-
4,0.00033426905696985374,0.921979482090806,-,-
5,0.0005439832215683733,0.8929662024833181,-,-
6,0.0004579873563265882,0.9097691227423612,-,-
7,0.0003882168024575356,0.9298837083839873,-,-
8,0.000297724379498722,0.9389779409357802,-,-
9,0.00026539438244909183,0.9449162906387268,-,-
0,0.00039809416557951526,0.9305347413905395,-,-
1,0.0009469684994749402,0.8615938630871693,-,-
2,0.0013526014427968625,0.8335407986677613,-,-
3,0.0010966341102904504,0.854351177370227,-,-
4,0.00021918394005616748,0.9490084077574705,-,-
5,0.00032023242948816134,0.924812456545096,-,-
6,0.0003356976276553953,0.9230877475200917,-,-
7,0.000345336023954465,0.9237566996887039,-,-
8,0.0003081532353257678,0.9343563885716734,-,-
9,0.0002577216875451152,0.9432479627693456,-,-
0,0.00019223168003482943,0.9523124677345481,-,-
1,0.00030301590547072104,0.9396657574687521,-,-
2,0.0005927216965224752,0.8974966347274796,-,-
3,0.001268330839280687,0.8635010072214968,-,-
4,0.0005941296565556516,0.8954323917658419,-,-
5,0.00024821246658935297,0.9460168785184851,-,-
6,0.00029679280937082507,0.9310173368982885,-,-
7,0.00036402901448184523,0.9244875092040246,-,-
8,0.00035482710179784587,0.9325820445722693,-,-
9,0.0003361712684867964,0.9378316399302998,-,-
0,0.0002648491113427442,0.9452438327257876,-,-
1,0.0002221638569925977,0.9527621287302579,-,-
2,0.00040122673743515897,0.9299699890602736,-,-
3,0.0005268069551069135,0.9146750639363124,-,-
4,0.0008017837224295369,0.8948915705785085,-,-
5,0.0008546272528880936,0.9023234601094856,-,-
6,0.00018157533874787432,0.9534447443347535,-,-
7,0.00017299441828405482,0.9510901393691635,-,-
8,0.00020511932830613428,0.9417615705414822,-,-
9,0.00018265111811637346,0.9526240448007152,-,-
0,0.0001788828861132814,0.9543787686080123,-,-
1,0.00017028838313154309,0.9544462677646088,-,-
2,0.0001452028515759663,0.9575785828158929,-,-
3,0.00022840523668818573,0.9463618020090694,-,-
4,0.0002900005028541663,0.9377494152200161,-,-
5,0.0004948428319320298,0.9132817565733674,-,-
6,0.00039029899788985194,0.9274493810387188,-,-
7,0.0001079245776002247,0.9674253895811842,-,-
8,0.00014676482357742598,0.9566603777200864,-,-
9,0.00015340582149402443,0.9525679676806666,-,-
0,0.0001312436879839048,0.9624430495140948,-,-
1,0.00010301278339194374,0.9676381446880232,-,-
2,0.00010572495121733644,0.9663695837341163,-,-
3,8.004220321507273e-05,0.97216055926715,-,-
4,0.00011290140175614956,0.9656244233174104,-,-
5,0.00013535456458735817,0.9578445873322474,-,-
6,0.00043448147978587115,0.92790466563705,-,-
7,0.00020122599984546933,0.9484773074827887,-,-
8,0.00012187029849723085,0.9702492501390608,-,-
9,0.00010621334167852318,0.9689712739227978,-,-
0,0.00011022439289614816,0.9617894633968429,-,-
1,0.00011168550259507958,0.9677118572701768,-,-
2,0.00022776565666037397,0.9719310857843373,-,-
3,0.00018813070539589383,0.972698664720695,-,-
4,6.313041135262694e-05,0.9778538294117396,-,-
5,8.701240902537339e-05,0.9733016573619552,-,-
6,8.42883122176979e-05,0.9707206904658611,-,-
7,0.0002647316019973706,0.9526503050307694,-,-
8,0.00019417714037083718,0.954076053307479,-,-
9,0.00047458403791708474,0.8777674823492871,-,-
0,0.0012540455747622299,0.8216819405683292,-,-
1,0.0012790363422406075,0.8325728791256384,-,-
2,0.001881347616320355,0.8327853390827243,-,-
3,0.0017401776211885957,0.8341431839582796,-,-
4,0.001683943851825203,0.8204807894332994,-,-
5,0.0011502432216723777,0.8537748922012771,-,-
6,0.0008015311956127918,0.8668525678427177,-,-
7,0.0005333951968459279,0.8808797103594492,-,-
8,0.0006801398736308871,0.842724111715878,-,-
9,0.0009560439213915198,0.817981279190118,-,-
0,0.0006428004744969387,0.8908662839691945,-,-
1,0.000806175419734154,0.8956181570751228,-,-
2,0.0010484443174367533,0.8850026618135914,-,-
3,0.0018164739678690396,0.8787456579974272,-,-
4,0.0015438295341841288,0.8830650968993676,-,-
5,0.00043755323580295884,0.9211009947023568,-,-
6,0.0003621406606132158,0.9097569265745973,-,-
7,0.0006044688207347735,0.8992617782127633,-,-
8,0.000566926280720367,0.8844919870683771,-,-
9,0.0003673265412956469,0.9044955565210967,-,-
0,0.00034214332762343407,0.911445767568223,-,-
1,0.00033782152847035166,0.9264163408304095,-,-
2,0.0003392071737033462,0.9329497674085554,-,-
