Image Pair,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.9824666060333058,4.774220395659067e-05,-,-,-,-
1,0.9741025370094671,8.558505282467511e-05,-,-,-,-
2,0.9717196985098069,0.0001453187910958216,-,-,-,-
3,0.973948842681004,0.0001789220947696786,-,-,-,-
4,0.9748180077449747,0.00017446081502616042,-,-,-,-
5,0.9772322553098473,0.00014187472180412307,-,-,-,-
6,0.979472051517748,0.00011154039542225442,-,-,-,-
7,0.9801316707951383,8.816147995241193e-05,-,-,-,-
8,0.9785314227995412,7.749118679207819e-05,-,-,-,-
9,0.9712495246779351,0.00015356137640707386,-,-,-,-
10,0.9674838819714762,0.0001782732544330327,-,-,-,-
11,0.9844141015289682,4.5819012270628743e-05,-,-,-,-
12,0.9764932576008315,8.913595691969379e-05,-,-,-,-
13,0.9756421292109232,0.00012335293045423422,-,-,-,-
14,0.978563508136276,0.00010112162858215502,-,-,-,-
15,0.980163619084961,9.587866767383222e-05,-,-,-,-
16,0.981550581963232,7.882256018493645e-05,-,-,-,-
17,0.9846369970419317,5.274719140122166e-05,-,-,-,-
18,0.9828286316947661,7.11703277017991e-05,-,-,-,-
19,0.9791129030137011,9.171213854939859e-05,-,-,-,-
20,0.9709504413976923,0.00015678004472276748,-,-,-,-
21,0.9693769473060426,0.00016808647740502381,-,-,-,-
22,0.9844722114370863,4.585808274300014e-05,-,-,-,-
23,0.9805936882279725,6.960794051007901e-05,-,-,-,-
24,0.9780748498406078,9.123900131976855e-05,-,-,-,-
25,0.9787077761724547,8.62375535729299e-05,-,-,-,-
26,0.9832519335771649,6.109966574155886e-05,-,-,-,-
27,0.9839970483245851,5.045049602825279e-05,-,-,-,-
28,0.985319656361881,4.449752602711002e-05,-,-,-,-
29,0.9842106592138353,5.517001731333826e-05,-,-,-,-
30,0.9779752929082351,0.00011547444995432381,-,-,-,-
31,0.9714687694133983,0.00021490352776710805,-,-,-,-
32,0.9729846571472917,0.00015499298979049136,-,-,-,-
33,0.9848057533809437,4.330424574320322e-05,-,-,-,-
34,0.9808989636915366,6.367047607073555e-05,-,-,-,-
35,0.9783856905668566,8.220374489059792e-05,-,-,-,-
36,0.9804351212202869,6.81981774210556e-05,-,-,-,-
37,0.9828410925294743,5.7260852336806634e-05,-,-,-,-
38,0.9838147061665902,5.031765205410835e-05,-,-,-,-
39,0.9856261771915871,3.9001085980649095e-05,-,-,-,-
40,0.9843670878934825,4.8536340041063616e-05,-,-,-,-
41,0.9788475988948349,9.967010685088563e-05,-,-,-,-
42,0.973777115750018,0.00020287816986991832,-,-,-,-
43,0.9757518450730622,0.00012385207228555214,-,-,-,-
44,0.9828140233060509,5.650212393426557e-05,-,-,-,-
45,0.9810163458988405,6.520856473227943e-05,-,-,-,-
46,0.9766213909971571,0.00010120783024462074,-,-,-,-
47,0.978764379052321,8.960542874420257e-05,-,-,-,-
48,0.9806595330325364,7.759631262295147e-05,-,-,-,-
49,0.9814240051832231,6.309856110370858e-05,-,-,-,-
50,0.9840962166180135,4.54033835919679e-05,-,-,-,-
51,0.9820900273812402,6.088770135310024e-05,-,-,-,-
52,0.9782494121932277,0.00010514481210486584,-,-,-,-
53,0.9760493489525035,0.00016501798641167312,-,-,-,-
54,0.975953605196082,0.0001511601664138116,-,-,-,-
55,0.9849669687275693,4.312378216692194e-05,-,-,-,-
56,0.9838561651712879,4.424013992320744e-05,-,-,-,-
57,0.9816145926147052,5.487929726614801e-05,-,-,-,-
58,0.9827969003400038,5.147882047101409e-05,-,-,-,-
59,0.9836684864512565,4.771851637013647e-05,-,-,-,-
60,0.9838907767639389,4.2052113245845146e-05,-,-,-,-
61,0.9854670972544921,3.431196915165104e-05,-,-,-,-
62,0.9842383518557363,4.531864661682212e-05,-,-,-,-
63,0.9818280369205319,5.842653812678238e-05,-,-,-,-
64,0.979868336343461,9.266817728280306e-05,-,-,-,-
65,0.9799664082824668,7.261476555774296e-05,-,-,-,-
66,0.9871942734699181,3.103603400805979e-05,-,-,-,-
67,0.9861360943943694,3.4624056055584104e-05,-,-,-,-
